City,Country,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloud Level,Date,Wind Speed
Souillac,FR,45.6,-0.6,59.81,60.8,67,0,1538182800,12.75
Panji,CN,32.78,116.82,78.06,78.06,64,0,1538185838,4.43
Yuxia,CN,34.06,108.63,60.8,60.8,72,0,1538182800,2.24
Belawan,ID,-0.59,114.46,81.21,81.21,87,44,1538185839,2.98
Pemba,MZ,-12.97,40.52,77.79,77.79,100,0,1538185668,8.23
Takestan,IR,36.07,49.69,59.0,59.0,47,0,1538182800,4.7
Mahajanga,MG,-15.72,46.32,71.6,71.6,68,0,1538182800,4.7
Deputatskiy,RU,69.3,139.9,27.6,27.6,87,80,1538184545,12.88
Salina Cruz,MX,16.18,-95.2,80.67,80.67,65,12,1538185841,10.69
Boa Esperanca,BR,-1.91,-60.0,81.03,81.03,79,68,1538185841,2.75
Mount Hagen,PG,-5.86,144.23,71.6,71.6,64,20,1538182800,2.53
Pakdasht,IR,35.48,51.68,65.25,68.0,37,20,1538182800,4.7
Verkhoyansk,RU,67.55,133.39,34.68,34.68,72,0,1538185258,3.76
Suez,EG,29.97,32.54,63.66,63.66,84,0,1538185842,2.75
Lososina,RU,49.0,140.31,61.23,61.23,79,0,1538185842,5.66
Inuvik,CA,68.36,-133.71,30.2,30.2,74,75,1538182800,8.05
Narsaq,GL,60.91,-46.05,39.2,39.2,60,0,1538182200,9.17
Toora-Khem,RU,52.47,96.11,45.3,45.3,89,8,1538185619,2.42
Ostersund,SE,63.18,14.64,37.4,37.4,98,92,1538184000,8.05
Haimen,CN,31.87,121.18,78.06,78.06,73,0,1538185844,16.84
Road Town,VG,18.42,-64.62,82.04,82.04,71,40,1538182380,12.75
Luganville,VU,-15.51,167.18,76.98,76.98,100,92,1538185844,23.78
Tilichiki,RU,60.47,166.1,40.74,40.74,94,0,1538184468,3.83
Riyadh,SA,24.63,46.72,77.0,77.0,14,0,1538182800,2.24
Mayo,CA,63.59,-135.9,50.0,50.0,37,5,1538182800,3.6
Vangaindrano,MG,-23.35,47.6,66.18,66.18,100,100,1538185845,2.98
Kenai,US,60.55,-151.26,55.0,57.02,66,75,1538182560,8.05
Ponnani,IN,10.77,75.93,75.2,75.2,88,75,1538184600,4.7
Sitka,US,37.17,-99.65,59.82,59.82,81,92,1538183932,17.58
Pozo Colorado,PY,-23.49,-58.8,80.13,80.13,73,44,1538185846,9.46
Nueve de Julio,AR,-31.67,-68.39,67.53,67.53,26,0,1538185847,12.93
Viedma,AR,-40.81,-62.99,52.23,52.23,95,12,1538185847,10.47
Gurupi,BR,-11.73,-49.07,76.53,76.53,77,0,1538185847,3.76
Kavieng,PG,-2.57,150.8,85.11,85.11,100,12,1538183835,8.63
Leningradskiy,RU,69.38,178.42,42.0,42.0,91,88,1538183852,16.8
Jiwani,PK,25.05,61.74,76.35,76.35,96,12,1538185848,4.76
Muroto,JP,33.37,134.14,73.4,73.4,78,75,1538182800,6.93
Brookhaven,US,40.78,-72.92,58.77,60.08,93,40,1538184360,3.42
Fare,PF,-16.7,-151.02,77.52,77.52,100,24,1538185849,7.23
Matinhos,BR,-25.82,-48.53,68.61,68.61,100,76,1538185849,4.21
Santiago,CL,-33.44,-70.65,55.4,55.4,87,75,1538182800,9.17
Shkurinskaya,RU,46.58,39.36,41.16,41.16,82,0,1538185850,2.98
San Quintin,PH,17.54,120.52,78.8,78.8,88,75,1538179200,4.7
Miramar,CR,10.09,-84.73,69.8,69.8,94,75,1538182800,3.36
Doha,QA,25.29,51.53,86.0,86.0,66,0,1538182800,2.24
Dunmore Town,BS,25.5,-76.65,82.74,82.74,100,76,1538185851,18.63
Velikiy Ustyug,RU,60.76,46.3,41.25,41.25,100,88,1538185851,7.78
Stolberg,DE,51.57,10.96,41.0,41.0,80,0,1538184000,4.7
North Las Vegas,US,36.2,-115.11,95.0,96.98,14,1,1538183700,20.8
Seoul,KR,37.57,126.98,69.76,71.6,46,0,1538182800,6.93
Aneho,TG,6.23,1.6,78.8,78.8,83,20,1538182800,10.29
Wahiawa,US,21.5,-158.02,83.98,86.0,88,75,1538185320,6.93
Salalah,OM,17.01,54.1,78.8,78.8,74,75,1538182200,5.82
Larsnes,NO,62.2,5.58,48.2,48.2,87,92,1538184000,27.51
Los Llanos de Aridane,ES,28.66,-17.92,73.4,73.4,73,36,1538184600,10.29
Imeni Poliny Osipenko,RU,52.42,136.49,66.36,66.36,46,0,1538185854,3.87
Ixtapa,MX,20.71,-105.21,86.0,86.0,74,40,1538181960,5.82
Langenburg,CA,50.84,-101.7,25.41,25.41,77,8,1538185385,2.98
Vanimo,PG,-2.67,141.3,83.1,83.1,100,0,1538185251,7.0
Cervo,BR,-22.19,-46.24,60.6,60.6,93,24,1538185464,3.65
Olinda,EC,-2.03,-79.75,75.2,75.2,73,20,1538182800,13.87
Byron Bay,AU,-28.65,153.62,75.2,75.2,64,36,1538182800,21.92
Sulangan,PH,11.14,123.72,83.64,83.64,100,0,1538185856,17.07
Sept-Iles,CA,50.2,-66.38,44.6,44.6,87,20,1538182800,16.11
Vilyuysk,RU,63.75,121.63,43.95,43.95,67,80,1538185857,6.33
Nakhon Thai,TH,17.1,100.84,79.77,82.4,94,75,1538182800,1.12
Guilin,CN,25.28,110.29,73.4,73.4,69,0,1538182800,4.47
Ciuruleasa,RO,46.26,23.03,37.38,37.38,85,8,1538185858,1.97
Aberystwyth,GB,52.41,-4.08,39.36,39.36,100,8,1538185859,3.2
Kawalu,ID,-7.38,108.21,78.96,78.96,49,12,1538185859,2.86
Tautira,PF,-17.73,-149.15,82.4,82.4,61,20,1538182800,17.22
Port Hedland,AU,-20.31,118.58,82.4,82.4,61,40,1538182800,11.41
Tuatapere,NZ,-46.13,167.69,52.44,52.44,92,92,1538183829,19.71
Launceston,AU,-41.43,147.14,51.8,51.8,50,40,1538182800,14.99
Lac-Megantic,CA,45.58,-70.88,50.2,53.6,93,1,1538183700,3.36
Port Lincoln,AU,-34.72,135.86,55.32,55.32,93,0,1538183929,5.84
Ponta Delgada,PT,37.73,-25.67,69.8,69.8,88,75,1538184600,8.05
Palembang,ID,-2.99,104.76,84.2,84.2,79,40,1538184600,5.82
Chipoka,MW,-13.99,34.52,76.26,76.26,100,0,1538185862,2.64
Codajas,BR,-3.84,-62.06,76.71,76.71,95,48,1538185862,2.64
Ust-Ilimsk,RU,57.96,102.73,48.54,48.54,75,0,1538185862,3.76
Hami,CN,42.84,93.51,62.67,62.67,40,32,1538185282,6.55
Santa Comba,ES,43.03,-8.81,59.88,60.8,100,20,1538184600,3.36
Amga,RU,60.89,131.98,41.7,41.7,57,8,1538185863,5.66
Muriti,TZ,-1.99,32.93,67.44,67.44,100,88,1538185864,1.97
Raudeberg,NO,61.99,5.14,48.2,48.2,93,92,1538184000,24.16
Progreso,UY,-34.68,-56.22,66.2,66.2,82,75,1538182800,18.34
Whitehorse,CA,60.72,-135.06,50.0,50.0,75,20,1538182800,3.36
Norman Wells,CA,65.28,-126.83,35.6,35.6,69,75,1538182800,16.11
Kaeo,NZ,-35.1,173.78,58.17,58.17,54,100,1538185865,4.21
Chapais,CA,49.78,-74.86,39.2,39.2,86,90,1538183580,12.75
Ucluelet,CA,48.94,-125.55,66.2,66.2,63,5,1538182800,8.05
Zhigansk,RU,66.77,123.37,33.81,33.81,100,44,1538184445,5.73
Mayumba,GA,-3.44,10.65,74.76,74.76,100,92,1538184533,4.72
Caranavi,BO,-15.83,-67.57,66.63,66.63,82,32,1538185866,0.74
Kaspiysk,RU,42.88,47.64,60.8,60.8,72,12,1538182800,8.95
Flinders,AU,-34.58,150.85,59.0,59.0,44,40,1538182440,17.22
Port Angeles,US,48.12,-123.43,66.92,69.98,42,1,1538182800,1.63
Ostrovnoy,RU,68.05,39.51,36.69,36.69,84,88,1538183656,18.14
Opuwo,NA,-18.06,13.84,58.44,58.44,42,0,1538185868,4.21
Mizdah,LY,31.45,12.98,52.59,52.59,89,0,1538185868,7.67
Mchinji,MW,-13.8,32.89,59.16,59.16,80,0,1538185869,7.0
Katsuura,JP,33.93,134.5,64.36,66.2,100,90,1538181900,5.82
Mykhaylivka,UA,47.27,35.22,55.4,55.4,87,75,1538182800,4.47
Uarini,BR,-2.98,-65.16,76.8,76.8,94,64,1538185869,2.86
San Borja,BO,-14.86,-66.75,76.8,76.8,84,48,1538185870,1.86
Kadoma,ZW,-18.34,29.91,65.19,65.19,49,0,1538185870,8.79
Tyrma,RU,50.04,132.17,61.41,61.41,58,0,1538185870,3.31
Antsirabe,MG,-19.87,47.03,47.55,47.55,93,8,1538185871,4.88
Sabang,PH,13.72,123.58,83.91,83.91,90,32,1538185871,10.8
Huntsville,US,34.73,-86.59,67.98,69.98,95,40,1538184900,2.64
Mgandu,TZ,-5.96,34.11,56.73,56.73,85,0,1538185872,11.14
Ouesso,CG,1.61,16.05,70.95,70.95,96,8,1538185872,2.75
College,US,64.86,-147.8,54.68,55.04,7,1,1538182680,11.41
Griffith,AU,-34.29,146.06,58.71,58.71,48,0,1538185873,12.48
Koumac,NC,-20.56,164.28,74.28,74.28,65,88,1538185297,14.16
Soyo,AO,-6.13,12.37,72.75,72.75,93,92,1538185266,3.76
Anchorage,US,61.22,-149.89,57.42,60.08,70,90,1538182560,4.32
The Valley,AI,18.22,-63.06,77.0,77.0,83,75,1538182800,4.7
Wilmington,US,39.75,-75.55,58.42,62.06,93,1,1538183700,3.36
Abu Dhabi,AE,24.47,54.37,85.06,86.0,55,0,1538182800,3.36
Teguise,ES,29.06,-13.56,73.4,73.4,88,88,1538184600,13.87
Westerland,NL,52.89,4.93,46.4,55.4,100,75,1538184300,3.53
Guerrero Negro,MX,27.97,-114.04,81.69,81.69,51,8,1538183906,10.31
Biak,ID,-0.91,122.88,81.57,81.57,87,44,1538185875,5.66
Vytegra,RU,61.01,36.45,40.89,40.89,100,92,1538185876,14.27
Meulaboh,ID,4.14,96.13,78.09,78.09,100,48,1538184543,5.73
Faisalabad,PK,31.42,73.09,75.0,75.0,93,0,1538185876,4.65
Sopotnica,MK,41.3,21.15,44.76,44.76,60,80,1538185877,1.74
Ardabil,IR,38.25,48.3,38.91,38.91,85,8,1538185877,2.3
Acajutla,SV,13.59,-89.83,75.2,75.2,73,0,1538182200,1.7
Codrington,AU,-28.95,153.24,73.14,73.14,71,0,1538183887,8.19
Yaya,RU,56.2,86.45,58.26,58.26,60,68,1538185878,14.16
Skoczow,PL,49.8,18.79,47.34,48.2,75,0,1538184600,8.05
Moroni,US,39.52,-111.59,71.07,71.07,17,20,1538184468,4.16
Newport,GB,51.59,-3.0,44.6,44.6,81,8,1538184000,8.05
Tual,ID,-5.67,132.75,81.06,81.06,97,0,1538184410,17.69
Mumford,GH,5.26,-0.76,74.28,74.28,96,20,1538185879,7.9
Camopi,GF,3.17,-52.33,81.12,81.12,66,0,1538185880,4.43
Pasighat,IN,28.06,95.33,74.46,74.46,77,32,1538185880,1.19
Te Anau,NZ,-45.41,167.72,50.19,50.19,69,36,1538184425,18.25
Raub,MY,3.79,101.85,82.2,82.2,80,8,1538185881,2.75
Sao Filipe,CV,14.9,-24.5,79.17,79.17,93,0,1538184148,17.92
Piacabucu,BR,-10.41,-36.43,71.85,71.85,96,88,1538185881,4.09
Awjilah,LY,29.14,21.3,58.8,58.8,48,44,1538185357,5.99
Ziro,IN,27.54,93.82,64.2,64.2,94,76,1538185882,1.97
Boyolangu,ID,-8.09,111.9,86.7,86.7,49,8,1538185882,4.65
Viseu,PT,40.66,-7.91,59.0,59.0,100,75,1538182800,8.05
Marawi,PH,8.0,124.29,82.2,82.2,71,20,1538185314,3.53
Prainha,BR,-1.8,-53.48,82.74,82.74,74,0,1538185883,5.55
San Juan Bautista,PY,-26.67,-57.15,75.99,75.99,77,0,1538185883,6.44
Kangaba,ML,11.94,-8.41,68.79,68.79,99,48,1538185395,3.53
Athenry,IE,53.3,-8.75,39.2,39.2,93,20,1538182800,3.36
Orange Cove,US,36.62,-119.31,94.19,95.0,24,1,1538183220,5.82
Redkino,RU,56.65,36.29,36.93,36.93,91,56,1538185884,7.78
Padang,ID,-0.92,100.36,78.81,78.81,100,24,1538184488,3.49
Hirara,JP,24.8,125.28,79.65,80.6,94,75,1538184000,54.13
Hornepayne,CA,49.22,-84.78,32.52,32.52,94,12,1538185885,2.08
Mitsamiouli,KM,-11.38,43.28,75.75,75.75,100,68,1538183926,5.95
Thaton,MM,16.91,97.37,83.01,83.01,99,56,1538185886,0.74
Praya,ID,-8.71,116.27,87.8,87.8,58,20,1538184600,3.36
Cabinda,AO,-5.56,12.19,75.54,75.54,100,76,1538185886,7.45
Peleduy,RU,59.63,112.75,42.96,42.96,86,32,1538185886,2.75
Zhaotong,CN,27.34,103.71,58.44,58.44,89,44,1538185382,2.42
Ajdabiya,LY,30.75,20.22,65.1,65.1,57,0,1538185887,10.8
Killybegs,IE,54.63,-8.45,47.04,47.04,100,8,1538184510,10.42
Angoche,MZ,-16.23,39.91,75.63,75.63,100,8,1538185635,8.79
Takoradi,GH,4.89,-1.75,76.35,76.35,99,56,1538185465,7.0
Paramonga,PE,-10.68,-77.82,60.69,60.69,100,56,1538185888,9.46
Tra Vinh,VN,9.93,106.35,84.63,84.63,91,44,1538185888,3.76
Pallasovka,RU,50.04,46.89,44.58,44.58,88,0,1538185870,11.25
Havre-Saint-Pierre,CA,50.23,-63.6,48.2,48.2,76,90,1538182800,10.29
Lucapa,AO,-8.42,20.74,66.09,66.09,96,56,1538185359,2.64
Ankazoabo,MG,-22.29,44.51,63.48,63.48,72,0,1538185889,5.77
Ivanava,BY,52.14,25.53,46.38,46.38,93,80,1538185890,11.59
Port Hardy,CA,50.7,-127.42,57.2,57.2,82,20,1538182800,6.93
Rassvet,MD,47.2,28.43,50.0,50.0,81,0,1538184600,5.82
Laguna,MX,27.52,-110.01,87.8,87.8,52,5,1538182020,9.17
Kiunga,PG,-6.12,141.3,85.71,85.71,66,8,1538185891,2.75
Nichinan,JP,31.65,131.31,71.6,71.6,94,75,1538182800,6.93
Palmerston,CA,43.83,-80.85,51.8,51.8,87,90,1538182800,9.17
Pangody,RU,65.85,74.49,55.56,55.56,76,92,1538185141,26.02
Evensk,RU,61.92,159.24,40.74,40.74,100,100,1538184457,14.67
Hatillo,PR,18.49,-66.83,78.8,78.8,95,40,1538185800,9.17
Mecca,SA,21.43,39.83,72.93,72.93,71,32,1538185452,1.97
Udachnyy,RU,66.42,112.4,42.96,42.96,93,0,1538185893,3.42
Salvador,BR,-12.98,-38.48,78.8,78.8,83,40,1538182800,12.75
Daru,SL,7.99,-10.85,73.95,73.95,96,88,1538184517,5.17
Zyryanka,RU,65.73,150.89,33.51,33.51,77,92,1538185302,9.01
Vabalninkas,LT,55.98,24.75,39.9,39.9,88,0,1538185894,13.27
Zyryanskoye,RU,56.83,86.62,57.45,57.45,68,48,1538185895,11.7
Wageningen,NL,51.98,5.66,37.44,39.2,93,0,1538184300,1.12
Milos,GR,36.75,24.43,69.8,69.8,77,68,1538184000,8.05
Juneau,US,58.3,-134.42,52.2,53.06,89,90,1538182560,3.98
